circuit_name,sc_per_10laps,vsc_per_10laps
Bahrain International Circuit,0.15,0.08
Jeddah Corniche Circuit,0.35,0.12
Albert Park Circuit,0.42,0.15
Baku City Circuit,0.55,0.18
Miami International Autodrome,0.28,0.10
Autodromo Enzo e Dino Ferrari,0.18,0.09
Circuit de Monaco,0.48,0.20
Circuit de Barcelona-Catalunya,0.12,0.06
Circuit Gilles Villeneuve,0.32,0.11
Red Bull Ring,0.14,0.07
Silverstone Circuit,0.16,0.08
Hungaroring,0.22,0.10
Circuit de Spa-Francorchamps,0.25,0.12
Circuit Zandvoort,0.19,0.09
Autodromo Nazionale di Monza,0.21,0.10
Marina Bay Street Circuit,0.52,0.22
Suzuka International Racing Course,0.20,0.09
Losail International Circuit,0.10,0.05
Circuit of the Americas,0.24,0.11
Autódromo Hermanos Rodríguez,0.30,0.13
Autódromo José Carlos Pace,0.26,0.12
Las Vegas Street Circuit,0.40,0.15
Yas Marina Circuit,0.17,0.08
